month,word_impact
Jan-04,5
Feb-04,6
Mar-04,6
Apr-04,5
May-04,5
Jun-04,5
Jul-04,4
Aug-04,5
Sep-04,4
Oct-04,6
Nov-04,5
Dec-04,5
Jan-05,6
Feb-05,6
Mar-05,5
Apr-05,4
May-05,8
Jun-05,4
Jul-05,5
Aug-05,4
Sep-05,5
Oct-05,5
Nov-05,5
Dec-05,4
Jan-06,5
Feb-06,5
Mar-06,4
Apr-06,4
May-06,5
Jun-06,5
Jul-06,4
Aug-06,5
Sep-06,6
Oct-06,5
Nov-06,4
Dec-06,4
Jan-07,5
Feb-07,3
Mar-07,4
Apr-07,4
May-07,4
Jun-07,5
Jul-07,4
Aug-07,4
Sep-07,4
Oct-07,5
Nov-07,4
Dec-07,3
Jan-08,4
Feb-08,4
Mar-08,5
Apr-08,5
May-08,4
Jun-08,4
Jul-08,5
Aug-08,5
Sep-08,6
Oct-08,5
Nov-08,6
Dec-08,5
Jan-09,5
Feb-09,5
Mar-09,5
Apr-09,5
May-09,5
Jun-09,4
Jul-09,4
Aug-09,5
Sep-09,4
Oct-09,5
Nov-09,5
Dec-09,5
Jan-10,5
Feb-10,5
Mar-10,6
Apr-10,5
May-10,5
Jun-10,5
Jul-10,5
Aug-10,5
Sep-10,6
Oct-10,5
Nov-10,6
Dec-10,6
Jan-11,7
Feb-11,7
Mar-11,7
Apr-11,7
May-11,8
Jun-11,8
Jul-11,8
Aug-11,8
Sep-11,9
Oct-11,12
Nov-11,13
Dec-11,12
Jan-12,15
Feb-12,19
Mar-12,20
Apr-12,23
May-12,22
Jun-12,24
Jul-12,24
Aug-12,27
Sep-12,29
Oct-12,35
Nov-12,37
Dec-12,32
Jan-13,41
Feb-13,45
Mar-13,50
Apr-13,54
May-13,52
Jun-13,55
Jul-13,54
Aug-13,52
Sep-13,56
Oct-13,64
Nov-13,64
Dec-13,55
Jan-14,63
Feb-14,71
Mar-14,73
Apr-14,72
May-14,73
Jun-14,71
Jul-14,75
Aug-14,73
Sep-14,84
Oct-14,82
Nov-14,84
Dec-14,73
Jan-15,80
Feb-15,88
Mar-15,92
Apr-15,94
May-15,83
Jun-15,84
Jul-15,79
Aug-15,73
Sep-15,89
Oct-15,89
Nov-15,83
Dec-15,75
Jan-16,80
Feb-16,93
Mar-16,87
Apr-16,86
May-16,88
Jun-16,84
Jul-16,76
Aug-16,78
Sep-16,87
Oct-16,93
Nov-16,96
Dec-16,80
Jan-17,85
Feb-17,96
Mar-17,96
Apr-17,93
May-17,89
Jun-17,86
Jul-17,78
Aug-17,83
Sep-17,92
Oct-17,97
Nov-17,100
Dec-17,80
Jan-18,84
Feb-18,93
Mar-18,91
Apr-18,86
May-18,81
Jun-18,78
Jul-18,77
Aug-18,78
Sep-18,92
Oct-18,99
Nov-18,90
Dec-18,69
Jan-19,79
Feb-19,81
Mar-19,84
Apr-19,81
May-19,75
Jun-19,74
Jul-19,76
Aug-19,74
Sep-19,84
Oct-19,87
Nov-19,97
Dec-19,75
Jan-20,78
Feb-20,78
Mar-20,71
Apr-20,73
May-20,71
Jun-20,68
Jul-20,68
Aug-20,66
Sep-20,75
Oct-20,71
Nov-20,69
Dec-20,60
Jan-21,62
Feb-21,65
Mar-21,67
Apr-21,65
May-21,63
Jun-21,64
Jul-21,59
Aug-21,55
Sep-21,64
Oct-21,68
Nov-21,71
Dec-21,64
Jan-22,76
Feb-22,87
Mar-22,85
Apr-22,80
May-22,76
Jun-22,77
Jul-22,67
Aug-22,67
Sep-22,80
Oct-22,77
Nov-22,75
Dec-22,66
Jan-23,67
Feb-23,74
Mar-23,68
Apr-23,69
May-23,74
Jun-23,69
Jul-23,66
Aug-23,65
Sep-23,72
Oct-23,71
Nov-23,62
Dec-23,59
Jan-24,53
